English,Spanish,Portuguese,French,Mandarin (Simplified),Polish,German
.NET,.NET,.NET,.NET,.NET,.NET,.NET
"“I know my project went beyond the children I impacted. By consequence, I created a chain reaction.”","""Sé que mi proyecto fue más allá de los niños que impacté. Por consecuencia, creé una cadena de reacción.""","""Eu sei que o meu projeto foi muito além das crianças que impactei. Por consequência, eu criei uma reação em cadeia.""","« Je sais que mon projet est allé au-delà des enfants que j’ai impacté. Par conséquent, j’ai déclenché une réaction en chaine. »",我知道我的项目不单止在我所影响的孩子们中起作用。结果，我创建了一个连锁效应。,"""Wiem, że mój projekt nie skupiał się tylko na pomocy dzieciom. W rezultacie, wytworzyła się  reakcja łańcuchowa.""","Ich weiß, dass mein Projekt ging über die Kinder aus, die ich betreut habe. Dadurch habe ich eine Kettenreaktion geschafft."
“I realized that I have so much more to learn about myself and the issues happening in the world.”,"""Me di cuenta de que tengo mucho más que aprender sobre mí mismo y lo que sucede en el mundo.""","""Eu apercebi-me que tenho muito a aprender, sobre mim próprio e sobre várias questões a acontecer pelo mundo.""",« Je me suis rendu compte que j’ai beaucoup à apprendre sur moi et sur ce qui se passe dans le monde. »,我意识到关于自身和正在发生的世界议题，我还有很多要去学习。,"""Zdałam sobie sprawę, że mam jeszcze wiele do nauczenia się na temat samej siebie i tego, co dzieje się na świecie.""","Ich habe bemerkt, dass ich noch so viel über mich und über die globalen Probleme erfahren sollte."
“I was able to sample the lifestyle of true Egyptians for which I will forever be indebted to AIESEC.”,"""He podido probar el estilo de vida de los vedaderos Egipcios por lo que siempre estaré en deuda con AIESEC""","""Eu tive a oportunidade de experienciar o estilo de vida de um verdeiro egípcio e, por isso, eu estarei sempre em dívida com a AIESEC.""",« J’ai eu l’opportunité d’expérimenter le style de vie des égyptiens pour ce que je serqi toujours redevable envers AIESEC. »,这段旅程中，我能够体验真正的埃及人生活方式，感谢AIESEC给我这个机会。,"""Mogłem spróbować życia prawdziwych Egipcjan, za co zawsze będę wdzięczny AISEC.""",Ich konnte den Lebensstil der echten Ägypter probieren. Dafür bin ich der AIESEC für immer dankbar.
"“I went to break stereotypes of Arab culture, and indeed I discovered a world of warm love and respect.”","""Vine para romper estereotipos de la cultura árabe y de hecho descubrí un mundo de cálido amor y respeto.""","""Eu fui para acabar com os estereótipos da cultura árabe e de facto descobri um mundo de amor e respeito.""","« Je suis allé pour rompre les stéréotypes de la culture arabe, et en effet, j'ai découvert un monde chaleureux et respectueux. »",我去是为打破心中对阿拉伯文化的刻板的印象，而实际上我在那里发现了一个充满爱和尊重的世界。,"""Pojechałem tam by łamać stereotypy związane z kulturą arabską i naprawdę spotkałem się ze światem pełnym ciepła i szacunku.""","Ich bin hingegangen, um die Stereotype gegen die arabische Kultur zu brechen und habe tatsächlich eine Welt warmer Liebe und des Respekts entdeckt."
“I’d recommend AIESEC to anyone who is eager to experience something completely different and challenging.”,"""Recomendaría a AIESEC a alguien que tiene muchas ganas de experimentar algo totalmente diferente y desafiante"".","""Eu recomendo a AIESEC a qualquer pessoa que esteja ansiosa para experimentar algo completamente diferente e desafiador.""",« Je recommanderais AIESEC à tous ceux qui souhaitent vivre une expérience unique et stimulante. »,“我会向任何一个渴望经历完全不同的挑战的人推荐AIESEC。”,"""Poleciłbym AIESEC każdemu, kto chce przeżyć coś zupełnie innego i wymagającego.""","Ich empfehle jedem AIESEC, wer etwas komplett anderes und reizvolles erleben will."
“It was by far the most challenging yet most rewarding thing I have done in my lifetime.”,"""Definitivamente ha sido el reto mas retante hasta ahora pero el más gratificante que he hecho en mi vida.""","""Foi de longe a coisa mais desanfiante e mais gratificante que já fiz na minha vida.""",« C’est l’expérience la plus stimulante et valorisante de ma vie. »,这是我遇见过最大的挑战，但同时这也是我人生中最有意义的一件事。,"""Zdecydowanie yo było najbardziej wymagająca i najbardziej satysfakcjonująca rzecz jaką zrobiłam w życiu"" ","Es war bisher die herausforderndste aber auch die lohnendste Erfahrung, die ich gesammelt habe."
“It was my first experience of independence. It made me aware of the impact one's actions can have on others.”,Fue mi primera experiencia de independencia. Me hizo conocer el impacto que las acciones que uno pueden tener en los demás .,"""Foi minha primeira experiência de independência. Isso fez-me perceber o impacto que as ações podem ter sobre os outros.""",« C'était ma première expérience d'autonomie. Cela m'a fait prendre conscience de l'impact que nos actions peuvent avoir sur les autres. »,“这是我第一次体验独立。它让我理解了一个人的行动对他人的影响。”,"""To było moje pierwsze doświadczenie niezależności, które uświadomiło mi jaki duży wpływ na innych ma działanie jednej osoby""","Ich war zum ersten Mal selbstständing. Mir ist der Eindruck bewusst geworden, den man mit seinen Taten  auf den anderen haben kann."
“My role was challenging and varied and I felt that I truly made a sustainable impact in the NGO.”,"""Mi papel era desafiante y variado y sentí que realmente hice un impacto sostenible en la ONG.""","""O meu papel foi desafiante e variado e eu senti que realmente tive um impacto sustentável na ONG.""","« Mon rôle a été stimulant et varié, j’ai senti que j’ai contribué de manière durable dans l’ONG »",我的扮演角色极具挑战性而且很不一样，同时我感受到我真的对非政府组织产生了可持续的影响。,"""Moje zadania były wymagające i zróżnicowane, naprawdę czuję, że dokonałam zrównoważoneo wpływu na NGO""","Meine Rolle war herausfordernd und vielfältig. Ich glaube, dass ich in der NGO eine nachhaltige Wirkung gezeigt habe."
“The beauty of going abroad lies in how we develop our ability to embrace that which is different from us.”,"""La belleza de viajar a otro país radica en como desarrollamos nuestras habilidades para adaptarnos a lo que es diferente a nosotros.""","""A beleza de ir para outro país encontra-se na forma como desenvolvemos a nossa habilidade de compreender e aceitar o que é diferente de nós""",« La beauté de partir à l’étranger repose sur comment on développe notre capacité de comprendre ce qui est différent. »,去国外的魅力之处在于我们怎么提升自己的能力去拥抱完全不同于我们的世界。,"""Piękno wyjazdów zagranicznych tkwi w tym, jak rozwijamy swoje umiejętności akceptowania tego, co jest inne, niż my sami.""","Was schön ist wenn man ins Ausland geht, ist, wie wir uns weiterentwickeln, in dem wir die Unterschiede ergreifen und akzeptieren."
“The IT firm I worked at was accommodating to challenges I faced. I was doing valuable work at my first job!”,"""La empresa de IT en la que trabajé se acomodó a los retos que enfrenté. ¡Estaba haciendo un trabajo valioso en mi primer día de trabajo!""","""A empresa de IT em que trabalhei foi acolhedora nos desafios que enfrentei. Eu estava a fazer um trabalho valioso no meu primeiro emprego!""",« L’entreprise d'IT dans laquelle j’ai travaillé était très accommodante envers les défis que j’affrontais. Je faisais du travail de valeur à mon premier emploi. »,我在一个科技公司工作，当我在工作中遇到困难时，公司给了我很大鼓励。我的第一份工作是我人生中一段宝贵的经历。,"""Firma IT, dla której pracowałem, była gotowa pomóc mi w wyzwaniach, z którymi przychodziło mi się zmierzyć. Robiłem wartościowe rzeczy w mojej pierwszej pracy!""","Die IT-Firma, in der ich gearbeitet habe, hat sich an meine Herausforderungen angepasst. Auf meiner ersten Arbeit habe ich was wertvolles gemacht!"
“There was so much freedom and ability to take ownership and make something out of nothing.”,"""Hubo tanta libertad y capacidad de tomar decisiones y hacer algo de la nada"".","""Havia tanta liberdade e habilidade para tomar posse e fazer algo do nada"".",Il y'avait beaucoup de liberté et de possibilités de faire des choses à partir de rien et de les s'approprier,“在这里有非常多的自由和能力去取得所有权和实现无中生有。”,"""Było tyle wolności i możliwości wzięcia sprawy we własne ręce, zrobienia czegoś z niczego.""","Es gab viel Freiheit und Möglichkeit, Verantwortung zu übernehmen und etwas zu gestalten."
"“What I learned in my internship was worth more than my years spent in university, in terms of practicality.”","""Lo que aprendí en mi práctica valió más la pena que mis años en la Universidad, en un sentido práctico.""","""O que eu aprendi no meu estágio valeu mais do que os anos passados na universidade, em termos de prática.""","« Ce que j’ai appris pendant mon stage est plus précieux que mes années passées à l’université, en terme de pratique. »",就我个人的偏好而言，我从这段实习当中所学到的比我在大学那几年学到的更有价值。,"""W kwestii praktyczności, to czego nauczyłem się podczas mojego stażu, było warte więcej niż lata spędzone na uczelni.""","Was ich in meinem Praktikum gelernt habe, war wertvoller als meine Jahre im Studium, in Bezuf auf Durchführbarkeit."
